crop,response,exposure,label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,max_abs_effect
韭菜,volume,radiation,短波辐射,5.0,-0.15316119371565717,-0.39230471099581776,0.08598232356450344,0.20937126749969615,0.9997788117577607,0.0,0.15316119371565717
韭菜,volume,temp_mean,日平均气温,9.0,-0.1527334731240424,-0.42029994841525625,0.11483300216717146,0.26321871822161536,0.9997788117577607,0.0,0.1527334731240424
韭菜,volume,wind_speed,日最大风速,14.0,0.1011781303354172,-0.019051063162495066,0.22140732383332945,0.09906042970548587,0.9997788117577607,0.0,0.1011781303354172
黄瓜,price,cloud_cover,云量,6.0,0.1098485584677658,-0.012518169665336157,0.23221528660086777,0.07849412296240807,0.9997788117577607,0.0,0.1098485584677658
黄瓜,price,dew_point,露点温度,4.0,-0.06861063871622572,-0.2908707306110745,0.15364945317862302,0.5451506079997256,0.9997788117577607,0.0,0.06861063871622572
黄瓜,price,et0,参考蒸散ET0,7.0,-0.09786297466381949,-0.28014689521446245,0.0844209458868235,0.2926768760121221,0.9997788117577607,0.0,0.09786297466381949
黄瓜,price,humidity,相对湿度,4.0,-0.045353694932320054,-0.23623074625615173,0.14552335639151162,0.6414235041890441,0.9997788117577607,0.0,0.045353694932320054
黄瓜,price,pressure_msl,海平面气压,0.0,0.0774677626635367,-0.1446641815832365,0.2995997069103099,0.49426356312760933,0.9997788117577607,0.0,0.0774677626635367
黄瓜,price,radiation,短波辐射,13.0,-0.12042719293682697,-0.308051061608014,0.06719667573436006,0.2083792827225024,0.9997788117577607,0.0,0.12042719293682697
黄瓜,price,temp_mean,日平均气温,4.0,-0.06782502555433288,-0.2862037339977507,0.15055368288908494,0.5426931611638137,0.9997788117577607,0.0,0.06782502555433288
黄瓜,price,wind_speed,日最大风速,0.0,-0.11023727074317423,-0.248656851391526,0.028182309905177547,0.11853724270505714,0.9997788117577607,0.0,0.11023727074317423
黄瓜,volume,cloud_cover,云量,8.0,-0.13299258443935408,-0.2831706409821187,0.017185472103410537,0.08261522929818828,0.9997788117577607,0.0,0.13299258443935408
黄瓜,volume,dew_point,露点温度,0.0,0.03415848863347529,-0.22367540360414526,0.2919923808710958,0.7951215940265881,0.9997788117577607,0.0,0.03415848863347529
黄瓜,volume,et0,参考蒸散ET0,13.0,0.12267619083516171,-0.08512153881495757,0.330473920485281,0.24722643257581334,0.9997788117577607,0.0,0.12267619083516171
黄瓜,volume,humidity,相对湿度,13.0,-0.14796586788437574,-0.3964752937131122,0.10054355794436068,0.24320614263222096,0.9997788117577607,0.0,0.14796586788437574
黄瓜,volume,pressure_msl,海平面气压,7.0,0.06849278581091259,-0.1645168026092303,0.30150237423105547,0.5645213805049525,0.9997788117577607,0.0,0.06849278581091259
黄瓜,volume,radiation,短波辐射,13.0,0.14001413747412855,-0.075097933528438,0.35512620847669507,0.2020463981713354,0.9997788117577607,0.0,0.14001413747412855
黄瓜,volume,temp_mean,日平均气温,0.0,0.0737956438106677,-0.18790440189467997,0.3354956895160154,0.5804744887878455,0.9997788117577607,0.0,0.0737956438106677
