offset,mean,count,ci_low,ci_high,group,crop,response,n_units,ci_excl0
-11,0.02210615342141824,6,-0.08259882958687832,0.14534980898319005,rain,尖椒,price,8,False
-10,0.002636312728114372,7,-0.103791716580494,0.08816055995375568,rain,尖椒,price,8,False
-9,0.020258568417208706,5,-0.016914388727419648,0.06673370696033576,rain,尖椒,price,8,False
-8,0.031831180775898645,4,-0.021915272151343656,0.08827458076170032,rain,尖椒,price,8,False
-7,-0.018058647751782175,6,-0.11318077501862046,0.09368610909289785,rain,尖椒,price,8,False
-6,0.002233597392607573,6,-0.1429169711334315,0.13338403011934666,rain,尖椒,price,8,False
-5,-0.02379371437403683,5,-0.13381673152559306,0.08363363980047715,rain,尖椒,price,8,False
-4,-0.043994094210522826,7,-0.19798459374382169,0.09518661055582926,rain,尖椒,price,8,False
-3,-0.020970095465824855,7,-0.1719363959414333,0.08455812493061252,rain,尖椒,price,8,False
-2,-0.030122144144806892,4,-0.35255683095626394,0.2000194398683541,rain,尖椒,price,8,False
-1,0.14666672874101283,4,-0.005549314055766582,0.25969029746178013,rain,尖椒,price,8,False
0,0.16124855903914834,6,0.04721016689682652,0.255392051160465,rain,尖椒,price,8,True
1,0.010465288499846124,5,-0.38807745606612487,0.31137980723543646,rain,尖椒,price,8,False
2,0.045892663638633785,4,-0.48027829897518304,0.6104163286543222,rain,尖椒,price,8,False
3,0.10797657842757198,6,-0.30688586935045875,0.6033472240420206,rain,尖椒,price,8,False
4,0.15665546913993816,6,-0.33549854660867423,0.6930491163382173,rain,尖椒,price,8,False
5,-0.012089735885769748,5,-0.45829035441877736,0.29397492393243124,rain,尖椒,price,8,False
6,0.36337512347236867,4,0.05005311898607482,0.8053488993800113,rain,尖椒,price,8,True
7,0.3443184752237209,6,-0.022138243012888817,0.7400270918213926,rain,尖椒,price,8,False
8,0.20378925779723178,6,-0.3308635934215759,0.6946054903331533,rain,尖椒,price,8,False
9,0.18873039929813118,5,-0.42010810247354147,0.7901330958941776,rain,尖椒,price,8,False
10,0.1890645671426708,7,-0.25523604866118,0.6896773473308354,rain,尖椒,price,8,False
11,0.10943862298523739,7,-0.3941288693919208,0.6113084130730272,rain,尖椒,price,8,False
12,-0.09800214474435434,5,-0.696194543574147,0.37404263839242896,rain,尖椒,price,8,False
13,0.06167856227081271,4,-0.6685719327362383,0.7359634863238065,rain,尖椒,price,8,False
14,0.15177305754038745,6,-0.512465457001017,0.7985423673255349,rain,尖椒,price,8,False
