scope,response,crop,hazard,hazard_label,window_days,beta_hazard,p_hazard,beta_interaction,p_interaction,n,r2,slope_in_window,slope_out_window,fdr_p_interaction,sig_fdr05
open_field,price,黄瓜,wind,风速,497,-0.08278996464886518,0.39578824319470596,-0.12337176613108605,0.35343407823238326,1410,0.011920756377203245,-0.20075428503510623,-0.08324504144503772,0.957445967672315,False
open_field,volume,土豆,precip_3d,3日累计降水,211,0.020237341776451118,0.6742535495647404,-0.12038347906191557,0.41138821050182595,1410,0.003916940611461417,-0.10174837358077315,0.021286894963156233,0.957445967672315,False
open_field,volume,土豆,soil_z,土壤水分异常,211,-0.05862999098563625,0.5441305970726327,-0.0028917683772602953,0.98497734615886,1410,0.00612172285708823,-0.05939135932506555,-0.05752922878902089,0.98497734615886,False
open_field,volume,土豆,temp_max,日最高气温,211,-0.008868112468128575,0.9218281546678164,-0.10868336635275308,0.7085199074805929,1410,0.0033131903979105592,-0.1129055158923898,-0.006171324765812158,0.9769806654104609,False
open_field,volume,土豆,vpd,饱和水汽压差VPD,211,-0.014669212345138731,0.8701064594049849,0.08659823978357141,0.6821932141370957,1410,0.003308616486760063,0.07569695972027354,-0.014178530473585626,0.9769806654104609,False
open_field,volume,土豆,wind,风速,211,-0.3046493183546847,8.769492311064307e-08,0.14004839773711403,0.13656709416077326,1410,0.08320733635839239,-0.16432613421865838,-0.3057188371216712,0.957445967672315,False
open_field,volume,尖椒,precip_3d,3日累计降水,471,-0.1409605041644822,0.53491901923299,-0.013779274078460723,0.9553119347049436,1410,0.028663286655446818,-0.14621454842585957,-0.13654791814419084,0.98497734615886,False
open_field,volume,尖椒,soil_z,土壤水分异常,471,0.23901521227881642,0.10099612471622099,0.3625720313907753,0.1567873815434114,1410,0.061242011966119,0.6075637468929984,0.2459913249851544,0.957445967672315,False
open_field,volume,尖椒,temp_max,日最高气温,471,0.1169882938899185,0.32058019659631687,-1.0450662220116238,0.22055760496587318,1410,0.03954015917243492,-0.8426536591543836,0.12875625170237615,0.957445967672315,False
open_field,volume,尖椒,vpd,饱和水汽压差VPD,471,-0.01557205924945787,0.8977744904935256,-0.3812612165770662,0.2823980398032804,1410,0.029282719238533206,-0.3671752180961356,-0.016574185284865355,0.957445967672315,False
open_field,volume,尖椒,wind,风速,471,-0.033028974172074115,0.7378911043875562,0.5955141914731926,0.04906055561930254,1410,0.0429085525291677,0.5598003368866857,-0.04110422618376677,0.5887266674316305,False
open_field,volume,甘蓝,precip_3d,3日累计降水,203,-0.09552892913294242,0.038101243019761845,-0.1095459411384333,0.7405065541221814,1410,0.02070376964539755,-0.1760328344224355,-0.09232049633233877,0.9769806654104609,False
open_field,volume,甘蓝,soil_z,土壤水分异常,203,0.03846413427581574,0.6805491963852719,0.2958199891673,0.3410051976638393,1410,0.022586456425187862,0.3483443279307884,0.04307913703142106,0.957445967672315,False
open_field,volume,甘蓝,temp_max,日最高气温,203,-0.0606766705594684,0.6362479899597584,0.4303162405763211,0.15988161677286783,1410,0.01946277922581674,0.24283465905434945,-0.04558842904473362,0.957445967672315,False
open_field,volume,甘蓝,vpd,饱和水汽压差VPD,203,-0.048463371601914704,0.6595900699825883,0.36029587962593795,0.4547855833679679,1410,0.01697473386887094,0.10674950960365806,-0.042957667031639904,0.957445967672315,False
open_field,volume,甘蓝,wind,风速,203,0.2925593519457899,3.2748405058054425e-05,-0.2078611191876188,0.29890206965690114,1410,0.05410457849679717,0.1047317913047716,0.28327190493228166,0.957445967672315,False
open_field,volume,芸豆,precip_3d,3日累计降水,374,-0.10422362283754195,0.5485065308076418,0.11718450756186978,0.5138448953410624,1410,0.025737284754959844,0.012002748166708942,-0.09590691398364241,0.957445967672315,False
open_field,volume,芸豆,soil_z,土壤水分异常,374,0.1300100466703032,0.18456207926708001,-0.01121129752810801,0.9327311452322509,1410,0.03508825998192433,0.11973845142699638,0.13870782176970764,0.98497734615886,False
open_field,volume,芸豆,temp_max,日最高气温,374,0.11086838678004919,0.27314029254491645,-0.14383826018397988,0.8123551091926858,1410,0.029582377418248096,0.02244829699612766,0.11273275264098685,0.98497734615886,False
open_field,volume,芸豆,vpd,饱和水汽压差VPD,374,0.015309938168723766,0.8722232006782984,0.06009218741540097,0.7287170390396782,1410,0.024473163100235285,0.0884875405618232,0.012323154854793506,0.9769806654104609,False
open_field,volume,芸豆,wind,风速,374,-0.03568290231579237,0.5491283388078153,0.08653324485292416,0.4350618457430767,1410,0.02491917634218832,0.04374857047103915,-0.03751697638819739,0.957445967672315,False
