crop,response,metric,hazard_key,hazard_label,peak_lag,peak_effect,peak_se,peak_p,peak_fdr_p,peak_ci_low,peak_ci_high,sum_effect_0_14,n_lag_sig_within,n_lag_focus,corr_max_abs
芸豆,volume,pct,precip_3d,3日累计降水,4,0.2188549533608619,0.34507263843336006,0.5259316132256622,0.9993687142937572,-0.45748741796852377,0.8951973246902476,0.3258007176069809,0,15,0.030141946543876044
芸豆,volume,pct,precip_7d,7日累计降水,13,0.1606318790798862,0.4760653438689124,0.7358036177599709,0.9993687142937572,-0.7724561949031822,1.0937199530629544,0.7020785245203321,0,15,0.02598556162068879
芸豆,volume,pct,soil_z,土壤水分异常,14,1.151621688796628,0.5573790979707909,0.0388155265750395,0.6925134872687063,0.05915865677387777,2.2440847208193784,15.099936425522403,0,15,0.1288891972318941
芸豆,volume,pct,temp_max,日最高气温,0,0.3707785633963669,0.6222628237138225,0.5512719379495123,0.9993687142937572,-0.8488565710827252,1.590413697875459,2.846541486380623,0,15,0.050654866788804986
芸豆,volume,pct,temp_min,日最低气温,0,0.32972323925323554,0.6204657652245158,0.5951329883208878,0.9993687142937572,-0.8863896605868155,1.5458361390932867,1.8906754607346967,0,15,0.046401894419005066
芸豆,volume,pct,vpd,饱和水汽压差VPD,14,-0.17515997068181854,0.5122468036554381,0.7323926692917042,0.9993687142937572,-1.1791637058464772,0.8288437644828401,-0.11363234381631843,0,15,0.019882428525191554
芸豆,volume,z,precip_1d,当日降水,5,0.03073215035330222,0.03987819524016958,0.4409141306737956,0.9993687142937572,-0.04742911231743015,0.10889341302403459,-0.03141083374865413,0,15,0.028343694430545702
芸豆,volume,z,precip_3d,3日累计降水,4,0.027908805850492543,0.04614930686467877,0.5453449400516013,0.9993687142937572,-0.06254383560427784,0.11836144730526293,0.00366268137872143,0,15,0.02896226768597186
芸豆,volume,z,precip_7d,7日累计降水,13,0.018669374433086444,0.06385436450368955,0.7700004640841431,0.9993687142937572,-0.10648517999414506,0.14382392886031795,0.041517199306143254,0,15,0.023341196366113575
芸豆,volume,z,soil_z,土壤水分异常,14,0.15720574347322736,0.0755347751964645,0.03741224926279712,0.6783883839022659,0.00915758408815695,0.3052539028582978,2.045758999873573,0,15,0.12903449441223938
