crop,model,hazard_key,hazard_label,window,effect,se,t,p_value,n,r2,fdr_p,ci_low,ci_high
黄瓜,per-crop HAC,soil_z,土壤水分异常,lag0-2,0.2064845980494939,0.12965246339396852,1.5926006544284421,0.1112498066407784,1409,0.1852534185500515,0.39947915650187327,-0.0476342302026844,0.46060342630167217
黄瓜,per-crop HAC,soil_z,土壤水分异常,lag3-14,-0.0727183454914611,0.19039111730671876,-0.381941902123051,0.702504458767542,1409,0.1852534185500515,0.8198938618510772,-0.44588493541262986,0.30044824442970763
黄瓜,per-crop HAC,wind,风速,lag0-2,0.22442132110084856,0.12059002930330455,1.8610271711302977,0.06274033974331641,1409,0.1852534185500515,0.39947915650187327,-0.01193513633362836,0.4607777785353255
黄瓜,per-crop HAC,wind,风速,lag3-14,0.5655063580922247,0.271172306841092,2.085413384131491,0.03703179297543504,1409,0.1852534185500515,0.3703179297543504,0.03400863668368437,1.0970040795007652
POOLED,pooled cluster-by-date,precip_3d,3日累计降水,lag0-2,-0.0610984457157108,0.04129115464208703,-1.479698164057507,0.13895381580136895,14090,0.05515246724600076,,-0.1420291088142014,0.01983221738277978
POOLED,pooled cluster-by-date,precip_3d,3日累计降水,lag3-14,-0.05279031826352551,0.05494210379212711,-0.9608353998102646,0.3366349362638277,14090,0.05515246724600076,,-0.16047684169609466,0.05489620516904363
POOLED,pooled cluster-by-date,temp_max,日最高气温,lag0-2,0.5746668083222775,0.18381524090490997,3.126328401786662,0.0017700376979342017,14090,0.05515246724600076,,0.2143889361486539,0.934944680495901
POOLED,pooled cluster-by-date,temp_max,日最高气温,lag3-14,-0.5030860295101618,0.19648852739484324,-2.5603837342584974,0.0104556642210766,14090,0.05515246724600076,,-0.8882035432040545,-0.11796851581626905
POOLED,pooled cluster-by-date,vpd,饱和水汽压差VPD,lag0-2,0.025597313081768477,0.06749258432063024,0.37926111941670354,0.704493968897894,14090,0.05515246724600076,,-0.10668815218666679,0.15788277835020376
POOLED,pooled cluster-by-date,vpd,饱和水汽压差VPD,lag3-14,0.3448424637999221,0.09567573869596435,3.6042832644935485,0.00031301552782154817,14090,0.05515246724600076,,0.157318015955832,0.5323669116440122
POOLED,pooled cluster-by-date,soil_z,土壤水分异常,lag0-2,0.13862329828815068,0.0378938848822866,3.6581970605222844,0.0002539957282101671,14090,0.05515246724600076,,0.06435128391886893,0.21289531265743242
POOLED,pooled cluster-by-date,soil_z,土壤水分异常,lag3-14,0.10581820940713565,0.04459306780755732,2.372974424271441,0.017645485713812584,14090,0.05515246724600076,,0.018415796504323304,0.19322062230994802
POOLED,pooled cluster-by-date,wind,风速,lag0-2,-0.06015402060863127,0.05841846950446295,-1.0297089451142798,0.30314665523205386,14090,0.05515246724600076,,-0.17465422083737864,0.054346179620116106
POOLED,pooled cluster-by-date,wind,风速,lag3-14,0.07915874425388712,0.0772717430457239,1.0244203266781058,0.30563678512438763,14090,0.05515246724600076,,-0.07229387211573172,0.23061136062350596
